"","tree_id","tree_dbh","curb_loc","health","sidewalk","root_stone","root_grate","trunk_wire","brch_light"
"465",371521,4,"1","1","0","0","0","0","0"
"466",361041,6,"0","1","0","0","0","0","0"
"467",422562,14,"1","1","0","0","0","0","0"
"468",422561,17,"1","1","0","0","0","0","0"
"469",422576,9,"1","1","0","0","0","0","0"
"470",363668,24,"1","1","1","0","0","0","0"
"471",422563,31,"1","1","1","0","0","0","0"
"472",41768,4,"1","1","0","0","0","0","0"
"473",31475,33,"1","1","1","1","0","0","0"
"474",31476,30,"1","1","1","1","0","0","0"
"475",31474,9,"1","1","0","0","0","0","0"
"476",41771,1,"1","1","0","0","0","0","0"
"477",31473,13,"1","1","0","0","0","0","0"
"478",41772,3,"1","1","1","0","0","0","0"
"479",41773,3,"1","1","0","0","0","0","0"
"480",41774,2,"1","1","1","0","0","0","0"
"481",41769,5,"1","1","0","0","0","0","0"
"482",39953,30,"1","1","1","0","0","0","0"
"483",39955,24,"1","1","1","1","0","0","0"
"484",31471,11,"1","1","0","0","0","0","0"
"485",31396,4,"1","1","0","0","0","0","0"
"486",39956,31,"1","1","1","1","0","0","0"
"487",39954,32,"1","1","1","1","0","0","0"
"488",31393,4,"1","1","0","0","0","0","0"
"489",31394,5,"1","1","1","1","0","0","0"
"490",39957,35,"1","1","1","1","0","0","0"
"491",31395,5,"1","1","0","1","0","0","0"
"492",31407,14,"1","1","1","0","0","0","0"
"493",31406,13,"1","1","0","0","0","0","0"
"494",31405,11,"1","1","0","0","0","0","0"
"495",31400,25,"1","1","0","1","0","0","0"
"496",31391,29,"1","1","0","1","0","0","0"
"497",31403,20,"1","1","0","0","0","0","0"
"498",31399,22,"1","1","0","1","0","0","0"
"499",31401,26,"1","1","1","1","0","0","0"
"500",31398,26,"1","1","0","1","0","0","0"
"501",31392,36,"1","1","0","1","0","0","0"
"502",31402,23,"1","1","0","1","0","0","0"
"503",31397,26,"1","1","0","0","0","0","0"
"504",31390,12,"1","1","0","0","0","0","0"
"505",31472,4,"1","1","0","0","0","0","0"
"506",31404,6,"1","1","0","0","0","0","0"
"507",130762,33,"1","1","1","1","0","0","1"
"508",130761,25,"1","1","1","1","0","1","1"
"509",130760,22,"1","1","1","1","0","0","1"
"510",130759,18,"1","1","1","0","0","0","1"
"511",130782,21,"1","1","1","1","0","0","0"
"512",130783,16,"1","1","1","1","0","0","0"
"513",130784,16,"1","1","1","1","0","0","1"
"514",130785,17,"1","1","1","1","0","0","1"
"515",130781,31,"1","1","1","1","0","0","1"
"516",130780,28,"1","1","1","1","0","0","0"
"517",150922,6,"1","1","0","0","0","0","0"
"518",150923,12,"1","1","0","1","0","0","0"
"519",150920,8,"1","1","1","0","0","0","1"
"520",150921,7,"1","1","0","0","0","0","0"
"521",151069,29,"1","1","0","1","0","0","1"
"522",151020,5,"1","1","0","0","0","0","0"
"523",150972,11,"1","1","1","0","0","0","1"
"524",150970,10,"1","1","0","0","0","0","0"
"525",150971,10,"1","1","0","0","0","0","1"
"526",150969,5,"1","1","0","0","0","0","0"
"527",151021,6,"1","1","0","0","0","0","1"
"528",150991,4,"1","1","0","0","0","0","0"
"529",150984,16,"1","1","1","1","0","0","0"
"531",150988,22,"1","1","1","1","0","0","0"
"532",150990,21,"1","1","1","0","0","0","0"
"533",150989,21,"1","1","0","0","0","0","0"
"534",150986,33,"1","1","1","1","0","0","1"
"535",188269,21,"1","1","1","0","0","0","0"
"536",151004,2,"1","1","0","0","0","0","0"
"537",150968,4,"1","1","0","0","0","0","0"
"538",188375,15,"1","1","0","0","0","0","0"
"539",150864,5,"1","1","0","0","0","0","1"
"540",188264,16,"1","1","1","0","0","0","0"
"541",188268,30,"1","1","1","1","0","0","0"
"542",188310,10,"1","1","1","0","0","0","0"
"543",188308,10,"1","1","1","0","0","0","0"
"544",150985,11,"1","1","1","0","0","0","0"
"545",150993,22,"1","1","0","0","0","0","1"
"546",188262,15,"1","1","0","0","0","0","0"
"547",188267,5,"1","1","0","0","0","0","0"
"549",188309,9,"1","1","1","0","0","0","0"
"550",188261,18,"1","1","0","0","0","0","0"
"551",188263,17,"1","1","1","1","0","0","0"
"552",188359,12,"1","1","1","1","0","0","0"
"553",188358,16,"1","1","1","0","0","0","0"
"554",141604,7,"1","1","0","0","0","0","0"
"555",141601,6,"1","1","0","0","0","0","0"
"556",231891,4,"1","1","0","0","0","0","0"
"557",231961,4,"1","1","0","0","0","0","1"
"558",231957,3,"1","1","0","0","0","0","0"
"559",231898,4,"1","1","0","0","0","0","0"
"560",231899,4,"1","1","0","0","0","0","0"
"561",231901,15,"1","1","0","0","0","0","0"
"562",231892,31,"1","1","1","1","0","0","0"
"563",231958,4,"1","1","0","0","0","0","0"
"564",231890,16,"1","1","0","0","0","0","0"
"565",231900,11,"1","1","0","0","0","0","0"
"566",231893,4,"1","1","0","0","0","0","0"
"567",231889,16,"1","1","0","0","0","0","0"
"568",277091,41,"1","1","0","0","0","0","0"
"569",277086,33,"1","1","0","0","0","0","0"
"570",277089,40,"1","1","1","1","0","0","1"
"571",277085,33,"0","1","0","0","0","0","0"
"572",277093,35,"1","0","1","0","0","0","0"
"573",277092,37,"1","1","1","0","0","0","0"
"574",277090,25,"1","0","0","1","0","0","0"
"575",277094,39,"1","1","0","0","0","0","0"
"576",277087,38,"1","1","0","0","0","0","1"
"577",231963,2,"1","1","0","0","0","0","0"
"579",277088,29,"1","1","0","0","0","0","0"
"581",332649,31,"1","1","1","0","0","1","1"
"582",332652,35,"1","1","1","1","0","1","1"
"583",332650,41,"1","1","1","1","0","1","1"
